base_norm,descriptive_norm,situation,intention,moral_action,moral_consequence,immoral_action,immoral_consequence
التعاون,إذا العِبءُ الثَّقيلُ توزَّعَتْه رِقابُ القومِ خَفَّ على الرِّقابِ,في مدرسةِ الحيِّ كان سليمٌ وتلاميذُ صَفِّه يُعِدّونَ معرضًا للعلومِ في ساحةٍ واسعةٍ، وقد أثقلتهم الصناديقُ واللوحاتُ والكتبُ المتناثرةُ.,أرادَ سليمٌ أن يُنجِزَ تجهيزَ ركنِ مجموعتِه قبلَ حضورِ المُعلِّم، ليظهرَ عملُهم مُرتَّبًا ويَفوزَ بإعجابِ الزائرينَ دونَ إهمالٍ أو تَقصيرٍ.,دعا سليمٌ زملاءَه بلطفٍ إلى تقسيمِ المهمّاتِ، فحملَ كلُّ واحدٍ جزءًا من الأدواتِ، وتناوبوا على تثبيتِ اللوحاتِ، شاكرينَ بعضَهم على المعونةِ.,لمّا رأى التلاميذُ حسنَ صُنعِهم اتّسعت صدورُهم، وقويت أواصرُ المودّةِ بينهم، وصاروا يَهبّونَ لنُصرةِ مَن يتعبُ في الصفِّ.,رأى سليمٌ ثِقلَ العملِ، فآثرَ أن يُلقِيَ الأوامرَ على زملائِه ويتنحّى، مُدّعيًا الانشغالَ، ليأخذَ ثمرةَ الجهدِ دونَ مشاركةٍ عادلةٍ.,اشتكى الزملاءُ من ظُلمِه وتكاسُلِه، فتفرّقت كلمتُهم واضطربَ ترتيبُ الركنِ، وصاروا يَتحفّظونَ منه ولا يثقونَ بتكليفِه بعدَ ذلك.
التواصي بالخير,ذَلِكُمْ وَصَّاكُمْ بِهِ لَعَلَّكُمْ تَتَّقُونَ [الأنعام: 153],كان حمزةُ فتىً مُجِدًّا يسكنُ مع أمه في حارةٍ قريبةٍ من المسجد، وفيها دكّانٌ صغيرٌ لجارهم ياسرُ يترددُ إليه الصبيانُ بعد الدرس.,أراد حمزةُ أن يَحظى بثقةِ أهلِ الحارةِ ومحبّتِهم، وأن يَعينَ صديقَه سليمًا على لزومِ الاستقامةِ حين يختلطُ بالصبيانِ عند الدكّان.,لمّا سمع حمزةُ صبيانًا يتهامسون بالسخريةِ من سليمٍ، تقدّمَ برفقٍ وذكّرهم بحرمةِ الأذى، ثم دعا سليمًا لكلمةٍ طيبةٍ وعمَلٍ نافعٍ.,سكنتِ الخصومةُ في الدكّان، وشعرَ سليمٌ بالأمانِ بين أقرانه، وأثنى الجارُ ياسرٌ على أدبِ حمزةَ، فانتشر في الحارةِ لسانُ الخيرِ.,لمّا سمع حمزةُ السخريةَ من سليمٍ، طَمِعَ في ضحكِ القومِ، فشاركهم الاستهزاءَ وحرّضهم على مزيدٍ من الكلماتِ الجارحةِ ليبدو شجاعًا بينهم.,اشتدّتِ القطيعةُ بين الصبيان، وانكسر قلبُ سليمٍ فاعتزلَ رفاقَه، وبلغَ الخبرُ الجارَ ياسرًا فساء ظنُّه بحمزةَ، فبردتِ المودّةُ في الحارة.
المداراة,"""ادْفَعْ بِالَّتِي هِيَ أَحْسَنُ السَّيِّئَةَ"" [المؤمنون: 96]",خولة وهالة أختان تعيشان في منزلٍ واحد، وتُعرف هالة بشقاوتها.,تهدفُ خولة إلى مُلاينةُ ومُلاطفة أختها هالة في كل خطب.,في أحد الأيام، عبثت هالة بألوان خولة المفضلة، احتَوت خولة الأمر، وأمرت هالة بكل هدوء ولين بعدم العبث بأشيائها مرة أخرى.,سَعِدت هالة بمُداراة خولة وخَجِلت منها، ثم اعتذرت منها.,في أحد الأيام، عبثت هالة بألوان خولة المفضلة، صَرخت خولة في وجه أختها هالة، وأمرتها بكل فظاظة بعدم العبث بأشيائها مرة أخرى.,اغتمت هالة بردة فعل أختها خولة وتفاقم الشجار بينهما، ولم تعتذر منها.
السماحة ,وإنَّ خليلَيك السَّماحةُ والنَّدى مقيمانِ بالمعروفِ ما كنتَ تُوجَدُ,في سوقِ مدينةٍ قديمةٍ تعجُّ بالروّاد، كان بائعُ التمرِ حَسّانُ يفتحُ دكّانَه صباحًا، ويجاورُه صبيٌّ يتيمٌ يُدعى عُميرٌ يتأمّلُ السِّلالَ خجلًا.,أراد حَسّانُ أن يبيعَ تمورَه بربحٍ حلالٍ، وأن يحفظَ لِعُميرٍ كرامتَه، فيجعلَ للناسِ ذكرًا حسنًا عن دكّانِه بين التجّارِ والجيرانِ.,لـمّا اقتربَ عُميرٌ وسألَ عن ثمنِ حفنةٍ صغيرةٍ، خفَّفَ حَسّانُ السعرَ بلطفٍ، وزادَه تمراتٍ هديّةً، ودعا له بخيرٍ دونَ مَنٍّ ولا رياءٍ.,ذاعَ بينَ أهلِ السوقِ خبرُ رِفقِ حَسّان، فصارَ الجيرانُ يوصونَ عنده ويُكثرونَ الشراء، ووجدَ عُميرٌ مَن يعينُه، فاستقامَت المودّةُ وتآلفَت القلوبُ.,إذا سألَ عُميرٌ عن القليلِ من التمرِ، غلّظَ حَسّانُ عليه القولَ، ورفعَ الثمنَ عمدًا، وأشهرَ فقرَه أمامَ الناسِ لِيُظهرَ نفسَه تاجرًا شديدًا لا يُسامحُ.,نفرَ الزبائنُ من قسوتِه، وتناقلَ التجّارُ سوءَ صنيعِه، فقلَّت بركتُه وقلَّت زبائنُه، وازدادَ عُميرٌ انكسارًا، وضعُفَ التراحمُ في السوقِ.
التودد,مُحَمَّدٌ رَسُولُ اللَّهِ والَّذِينَ مَعَهُ أَشِدَّاءُ عَلَى الكُفَّارِ رُحَمَاءُ بَيْنَهُمْ [الفتح: 29],كان عبدُ الرحمنِ تلميذًا مجتهدًا في مدرسةٍ قريبةٍ من المسجد، ورأى زميلَه خالدًا جديدَ العهدِ بالحيّ، يجلسُ وحيدًا في ساحةِ الاستراحةِ صامتًا.,أراد عبدُ الرحمنِ أن يَكسِبَ قلبَ خالدٍ ويُذهِبَ عنه وحشةَ الغربة، ليصيرَ له في المدرسةِ أخٌ يُؤنسُه ويعاونُه على الخيرِ.,اقترب عبدُ الرحمنِ من خالدٍ بلطفٍ، وسلَّم عليه، وسأله عن بلدِه وأحوالِه، ثم دعاه لمشاركته طعامَه، وعَرَضَ أن يعرِّفَه بزملاءِ الصفِّ واحدًا واحدًا.,اطمأنَّ خالدٌ لكلامِه، واجتمع الصبيان حولهما، فصار جوُّ الفصلِ ألينَ وأقربَ للمودَّة، وتنافسوا في إكرامِ القادمِ الجديدِ وحُسنِ صحبتِه.,مرَّ عبدُ الرحمنِ بخالدٍ وهو منفردٌ، فتجاهله متعمِّدًا، وأشار لبعضِ رفقائِه أن يضحكوا من لَهجتِه، ثم جلس بعيدًا يَطلبُ قبولَ الجماعةِ بالسخريةِ.,انقبضت صدورُ الصبيان وتفرَّقوا فريقين، وازداد خالدٌ حزنًا وانطواءً، واشتدَّت الخصومةُ في الساحةِ حتى شكا المعلِّمُ من قسوةِ القلوبِ وضعفِ الألفةِ.
التفاؤل,إنَّ الأمورَ إذا انسَدَّت مَسالِكُها فالصَّبرُ يَفتَحُ منها كُلَّ ما ارتَتَجَا لا تيأسَنَّ وإن طالت مُطالَبةٌ إذا استعَنْتَ بصَبرٍ أن ترى فَرَجَا,في قريةٍ وادعةٍ على ضفافِ النهر، كان حسانٌ تلميذًا مجتهدًا يُعينُ أباه في الدُّكّان، وقد أظلَّهم عامُ قحطٍ فتغيَّرت أحوالُ الناس.,أراد حسانٌ أن يَجمعَ ما يَحتاجه أهلُ الحيِّ من طعامٍ يسيرٍ للشتاء، وأن يُثبِّتَ قلوبَهم حين كثُرت الشكوى وضَعُف الرجاء.,مضى حسانُ إلى المسجد بعد الفجر، فاستشارَ الإمامَ ودعا زملاءه إلى حملةِ تعاونٍ، يوزِّعون ما فَضَلَ من بيوتهم بكلمةٍ طيّبةٍ وبِشرٍ.,ارتاحت نفوسُ الجيران، وأقبلوا يتزاورون ويُواسون بعضَهم، فعمَّت الألفةُ الحيَّ، وصار الناسُ يتحدثون عن صبرِ حسانٍ ويقتدون بثباته.,لما اشتدَّ القحطُ، سعى حسانُ إلى بثِّ الهلع بين الناس، وأخذ يُهوِّل الأخبارَ في السوق، ويحثُّهم على اكتناز ما لديهم، طمعًا في منفعةٍ عاجلةٍ.,تفككت روابطُ الجيرة، واشتدَّت الخصوماتُ عند الدكاكين، ونظر الناسُ إلى حسانٍ بريبةٍ واستنكار، فقلَّت الثقةُ به وقلَّ مَن يُسلم عليه.
المواساة,أخوك الذي إن سَرَّك الأمرُ سَرَّه وإن ساء أمرٌ ظَلَّ وهو حَزينُ يُقَرِّبُ من قرَّبْتَ من ذي مودَّةٍ ويُقصي الذي أقصيتَه ويُهينُ,في مدرسةِ الحيِّ العتيقة، كان حسّانُ وتوفيقٌ صديقينِ متآلفين، يدرسانِ معًا تحت ظلالِ شجرةِ التوت، ويأنسانِ بصوتِ الجرسِ وأحاديثِ الزملاءِ.,أراد حسّانُ أن يخفِّف عن توفيقٍ كآبةَ يومه، وأن يردَّ إلى قلبه الطمأنينةَ ليواصلَ دروسه ثابتَ العزمِ حسنَ الظنِّ.,لما رأى حسّانٌ توفيقًا واجمًا لفقدِ كراسته، جلس إلى جانبه، وسأله برفقٍ، ثم أعانه على البحثِ، ووعده أن يشاركه أوراقَه حتى تنجليَ غمّتُه.,شعر توفيقٌ بالأنسِ لصدقِ مؤازرةِ حسّان، فزال عنه الضيق، وتوطدت المحبةُ بينهما، وصار زملاؤهما يقتدون بلينِ القولِ وحسنِ العشرة.,لما شكا توفيقٌ ضياعَ كراسته، قابله حسّانٌ بالجفاء، وسخر من اضطرابه، ثم أبى أن يعيره شيئًا، وانصرف عنه قاصدًا لذته غيرَ مبالٍ.,انكسر خاطرُ توفيقٍ واعتزلَ أصحابه، ووقع بين التلاميذ جفاءٌ وتنافرٌ، وأخذوا يتحاشون حسّانَ لخشونةِ طبعه، فخفتت روحُ التعاونِ في الصفِّ.
كظم الغيظ,قِيلَ ادْخُلِ الْجَنَّةَ قَالَ يَالَيْتَ قَوْمِي يَعْلَمُونَ * بِمَا غَفَرَ لِي رَبِّي وَجَعَلَنِي مِنَ الْمُكْرَمِينَ [يس: 26-27],في مدرسةٍ عتيقةٍ بحيٍّ هادئٍ، كان يوسفُ أمينَ المكتبةِ الصغيرة، يعتني بالكتب ويُرشد التلاميذ، غير أنّ سالمًا كثيرُ السخرية يُضيّق عليه أمام زملائه.,أراد يوسفُ أن يحفظَ حرمةَ مجلسِ العلم، وأن يُقيمَ الودَّ بينه وبين زملائه، ليبقى بابُ المكتبةِ مأمونًا يقصده التلاميذُ بلا نفورٍ ولا خصام.,لمّا أسقط سالمٌ قصدًا دفتَرَ الاستعارةِ واتهم يوسفَ بالتقصير، تمالك يوسفُ غضبَه، وخاطبه بلطفٍ، ثم أعانه على ترتيب الرفوف وذكّره بأدبِ طلبِ العلم.,شعر سالمٌ بالحياء حين رأى حلمَ يوسف، فاعتذرَ أمام التلاميذ، وصار يعاونُه في حفظ النظام، فانتشرت السكينةُ في المكتبة وقويتْ الثقةُ بين الزملاء.,لمّا أسقط سالمٌ دفتَرَ الاستعارةِ ورفع صوتَه بالاتهام، ثار يوسفُ عليه، وجرّحه بكلامٍ فظٍّ، ثم أخرجَه من المكتبةِ على مرأى التلاميذ دون إنصافٍ ولا تروٍّ.,اشتدّ الخصام بينهما، وتفرّق التلاميذُ شيعًا يتهامسون، فضعفت هيبةُ المكتبة، وقلّ الإقبالُ عليها، وصار كلُّ خطإٍ صغيرٍ يُوقِد نزاعًا جديدًا.
التأني (الأناة),نار الرَّويَّةِ نارٌ جِدُّ مُنضِجةٍ وفي البديهةِ نارٌ ذاتُ تلويحِ وقد يُفَضِّلُها قومٌ لعاجِلِها لكنَّه عاجِلٌ يمضي مع الرِّيحِ,في سوقِ المدينةِ القديمِ كانَ ياسرٌ يتعلَّمُ التجارةَ عندَ عمِّه، وبينَ الأصواتِ والروائحِ تلمعُ أثوابٌ ملوَّنةٌ وتكثرُ المساوماتُ على عَجَلٍ.,أرادَ ياسرٌ أن يشتريَ ثوبًا حسنًا لأمِّه قبلَ العيدِ من غيرِ أن يُضيِّعَ مالَه القليلَ أو يُغبَنَ بينَ التجّارِ.,تأنّى ياسرٌ فسألَ عن جودةِ القماشِ ووزنِه، واستشارَ عمَّه، ثم فاوضَ برفقٍ حتى اتّضحَ له العدلُ في الثمنِ فابتاعَه مطمئنًّا.,لمّا رأى البائعُ حِلمَ ياسرٍ ورزانةَ نظرِه، احترمَه وخفَّضَ له قليلًا، فانتشرَ بينَ الناسِ ذكرُ أمانتِه وحَسُنَتْ معاملتُهم معه.,استعجلَ ياسرٌ فالتقطَ أوّلَ ثوبٍ أُعجِبَ به من غيرِ فحصٍ ولا سؤالٍ، ودفعَ الثمنَ كاملًا خائفًا أن يسبقَه المشترونَ في زحامِ السوقِ.,ما إن عادَ حتى بانَ العيبُ في الخياطةِ وغلَتِ القيمةُ، فلامَه عمُّه وتردَّدَ الجيرانُ في معاملتِه، إذ رأوا تسرُّعَه يجرُّ الخسارةَ.
الشفقة,ربَّ رحيمٍ مُشفِقٍ مُتعَطِّفٍ لا ينتهي بالحَصرِ ما أعطاهُ كم نِعمةٍ أَولى! وكم من كُربةٍ أجلى! وكم من مُبتلًى عافاهُ,كان حَسَنُ بنُ عُمَرَ تلميذًا مجتهدًا في مدرسةِ الحيّ، يُحبّ كرةَ القدم، وفي صفِّه غلامٌ يتيمٌ اسمه ياسرُ تبدو عليه آثارُ التعبِ والوَحدة.,أراد حَسَنٌ أن يَحفَظَ لياسرٍ كرامتَه، ويُعينَه على الاندماج مع زملائه، حتى لا يبقى منفردًا في الفُسحة، ولا يُثقلَ عليه سؤالُ الناس.,لَمّا رأى حَسَنٌ ياسرًا ناسيًا طعامَه، قاسَمَه سَندويتشَه في سِترٍ، ودعاه للّعب، وخاطبَ رفقاءَه بكلامٍ ليّنٍ يَستنهضُ الرِّفقَ والرحمة.,انتشر بين الصِّبيانِ خُلُقُ التراحُم، فصاروا يَتبادلون العونَ بلا منٍّ، وأقبل ياسرُ على الدرسِ مُطمئنًّا، وشعر المعلّمُ بأنّ الصفَّ أصفى مَوَدّةً وتعاونًا.,لَمّا رأى حَسَنٌ ياسرًا جائعًا، سَخِرَ منه أمام الصِّبيان، وأخفى عنه زادَه ليضحكوا، ثمَّ أبعده عن اللعبِ زاعمًا أنّه يَجلبُ الخسارةَ للفريق.,قَسَت قلوبُ التلاميذِ وتجرّؤوا على التعيير، فانكمش ياسرُ واعتزلهم، واضطربَ جوُّ الصفِّ بالخصومة، حتى شكا المعلّمُ قلّةَ الأدبِ وضعفَ الألفةِ بينهم.
